,CustomerKey,Gender,Name,City,State Code,State,Zip Code,Country,Continent,Birthday,Age,Age Group
96,12649,FEMALE,Rose Raven,Noble Park North,VI,Victoria,03174,Australia,Australia,1965-12-11,59,50-60
97,12729,MALE,Xavier Sturdee,Stannum,NS,New South Wales,02371,Australia,Australia,1937-10-14,87,60+
98,12810,MALE,Patrick Newbigin,Deer Park,VI,Victoria,03023,Australia,Australia,1957-06-24,67,60+
99,12859,MALE,Koby Rayment,Nabawa,WA,Western Australia,06532,Australia,Australia,1942-04-29,82,60+
100,12868,MALE,Nathan Greville,Mallala,SA,South Australia,05502,Australia,Australia,1961-03-12,63,60+
101,13045,FEMALE,Abbey Storkey,Blue Mountain Heights,QL,Queensland,04350,Australia,Australia,1957-10-19,67,60+
102,13071,FEMALE,Claudia Fuller,Cuballing,WA,Western Australia,06311,Australia,Australia,1973-06-28,51,50-60
103,13232,FEMALE,Maya Coates,Unley Bc,SA,South Australia,05061,Australia,Australia,1985-08-12,39,30-40
104,13365,MALE,Mitchell Cutlack,Moonem,NS,New South Wales,02471,Australia,Australia,1961-01-02,63,60+
105,13607,FEMALE,Gemma Maum,Mambray Creek,SA,South Australia,05495,Australia,Australia,1954-09-21,70,60+
106,14069,MALE,Jacob Gairdner,Rob Roy,NS,New South Wales,02360,Australia,Australia,1949-05-24,75,60+
107,14180,FEMALE,Ava Lockyer,Kalgoorlie,WA,Western Australia,06430,Australia,Australia,1998-05-14,26,18-30
108,14275,FEMALE,Dakota Dunshea,Bentley,NS,New South Wales,02480,Australia,Australia,1979-05-02,45,40-50
109,14906,FEMALE,Grace Houghton,Boyer,TA,Tasmania,07140,Australia,Australia,1982-11-16,42,40-50
110,14962,FEMALE,Mackenzie Newell,Crestwood,NS,New South Wales,02153,Australia,Australia,1936-04-05,88,60+
111,14988,FEMALE,Emily Thirkell,Wyndham Vale,VI,Victoria,03024,Australia,Australia,1958-07-24,66,60+
112,15109,FEMALE,Sara Marsden,Whale Beach,NS,New South Wales,02107,Australia,Australia,1999-08-18,25,18-30
113,15385,MALE,Harry Morgans,Doongin,WA,Western Australia,06409,Australia,Australia,1995-05-11,29,18-30
114,15391,FEMALE,Elizabeth Horsley,Marraweeney,VI,Victoria,03669,Australia,Australia,1989-01-25,35,30-40
115,15569,FEMALE,Chelsea Weekes,Colac,VI,Victoria,03250,Australia,Australia,1983-09-08,41,40-50
116,15718,FEMALE,Natalie Tennant,Dakenba,QL,Queensland,04715,Australia,Australia,1957-02-20,67,60+
117,16193,FEMALE,Isabelle Beggs,Altona,SA,South Australia,05351,Australia,Australia,1964-05-10,60,60+
118,16282,FEMALE,Evie Kirkhope,Reids Flat,NS,New South Wales,02586,Australia,Australia,2000-05-11,24,18-30
119,16716,FEMALE,Abby Frater,Kayuga,NS,New South Wales,02333,Australia,Australia,1987-12-16,36,30-40
120,17412,MALE,Mitchell Kwok,Victoria Park,WA,Western Australia,06100,Australia,Australia,1969-08-31,55,50-60
121,17811,FEMALE,Alicia Hoy,Wattle Glen,VI,Victoria,03096,Australia,Australia,1985-10-15,39,30-40
122,18067,MALE,Rory Koerstz,Mount Mckenzie,SA,South Australia,05353,Australia,Australia,1941-10-26,83,60+
123,18263,MALE,Callum Semmens,Rural View,QL,Queensland,04740,Australia,Australia,1978-06-01,46,40-50
124,18309,MALE,Michael Vogt,Fyans Creek,VI,Victoria,03381,Australia,Australia,1992-01-07,32,30-40
125,18470,MALE,Zac Pryor,Gosford,NS,New South Wales,02250,Australia,Australia,1969-03-12,55,50-60
126,18493,MALE,George Kevin,Tascott,NS,New South Wales,02250,Australia,Australia,1994-09-27,30,30-40
127,18714,MALE,Ashton Aitken,Pinwernying,WA,Western Australia,06317,Australia,Australia,1972-08-13,52,50-60
128,18887,FEMALE,Zara Castleton,Boorolite,VI,Victoria,03723,Australia,Australia,1978-11-25,46,40-50
129,19082,MALE,Matthew Denman,Ransome,QL,Queensland,04154,Australia,Australia,1939-04-06,85,60+
130,19207,MALE,Luke Casimaty,Kurraca,VI,Victoria,03518,Australia,Australia,1991-01-19,33,30-40
131,19404,MALE,Cody OHea,Wynnum,QL,Queensland,04178,Australia,Australia,1997-06-10,27,18-30
132,19534,FEMALE,Leah Martin,Tooborac,VI,Victoria,03522,Australia,Australia,1964-12-13,60,60+
133,19579,FEMALE,Ava Reye,Barcaldine,QL,Queensland,04725,Australia,Australia,1949-10-16,75,60+
134,19726,FEMALE,Victoria Daly,Watanobbi,NS,New South Wales,02259,Australia,Australia,1973-01-28,51,50-60
135,19732,FEMALE,Olivia Moresby,Wappilka,SA,South Australia,05332,Australia,Australia,1981-08-31,43,40-50
136,19753,FEMALE,Alyssa Solander,Howth,TA,Tasmania,07316,Australia,Australia,1995-10-21,29,18-30
137,19916,MALE,Hunter Samuel,Little Plain,NS,New South Wales,02360,Australia,Australia,1991-05-13,33,30-40
138,20069,MALE,Jesse ParryOkeden,Gwindinup,WA,Western Australia,06237,Australia,Australia,1980-11-24,44,40-50
139,20092,FEMALE,Victoria Fitzsimmons,Cambridge Gardens,NS,New South Wales,02747,Australia,Australia,1947-05-03,77,60+
140,20237,MALE,Riley Montefiore,Williamstown,VI,Victoria,03016,Australia,Australia,1986-07-14,38,30-40
141,20623,FEMALE,Eva Rendall,Carlyle,VI,Victoria,03685,Australia,Australia,1994-03-11,30,30-40
142,20802,MALE,Ben Whitworth,Polda,SA,South Australia,05670,Australia,Australia,1945-07-07,79,60+
143,20946,FEMALE,Taylah Walstab,Winthrop,WA,Western Australia,06150,Australia,Australia,1999-11-04,25,18-30
144,21203,MALE,Tristan Dobie,Chartwell,VI,Victoria,03030,Australia,Australia,1960-02-18,64,60+
145,21387,MALE,Christian Hughes,Cremorne,NS,New South Wales,02090,Australia,Australia,1970-01-26,54,50-60
146,21424,MALE,Justin Tickell,Heytesbury Lower,VI,Victoria,03268,Australia,Australia,1940-07-29,84,60+
147,21460,FEMALE,Kayla De Beuzeville,Glenlynn,WA,Western Australia,06256,Australia,Australia,1957-11-01,67,60+
148,21523,MALE,Jayden Rennie,Swanhaven,NS,New South Wales,02540,Australia,Australia,1969-12-06,55,50-60
149,21575,MALE,Zac Chumleigh,Craigie,WA,Western Australia,06025,Australia,Australia,1991-12-29,32,30-40
150,21654,FEMALE,Amber Monger,Parliament House,SA,South Australia,05000,Australia,Australia,1950-02-03,74,60+
151,21819,FEMALE,Matilda Blacklock,Cleveland,TA,Tasmania,07211,Australia,Australia,2000-06-18,24,18-30
152,21870,FEMALE,Summer Gramp,Beltana,SA,South Australia,05730,Australia,Australia,1991-11-23,33,30-40
153,22158,MALE,Will Parer,Church Point,NS,New South Wales,02105,Australia,Australia,1996-12-10,28,18-30
154,22384,MALE,Jaxon Cox,Pearce,AC,Australian Capital Territory,02607,Australia,Australia,1951-01-24,73,60+
155,22540,MALE,Connor Ruwolt,Bandya,WA,Western Australia,06440,Australia,Australia,1989-06-12,35,30-40
156,22775,MALE,Flynn Campion,Needles,TA,Tasmania,07304,Australia,Australia,1958-08-27,66,60+
157,22826,MALE,Edward Putilin,Ashfield,QL,Queensland,04670,Australia,Australia,1976-09-25,48,40-50
158,23128,MALE,Zane Sinclaire,Summerlands,VI,Victoria,03922,Australia,Australia,2000-01-02,24,18-30
159,23203,FEMALE,Gemma Philipp,Madora Bay,WA,Western Australia,06210,Australia,Australia,1998-08-11,26,18-30
160,23267,FEMALE,Gabrielle Zinnbauer,Flinders View,QL,Queensland,04305,Australia,Australia,1954-04-18,70,60+
161,23320,FEMALE,Samantha Weigel,Wittenoom,WA,Western Australia,06751,Australia,Australia,1960-04-15,64,60+
162,23431,FEMALE,Grace Scarf,Sheep Hills,VI,Victoria,03392,Australia,Australia,1970-10-27,54,50-60
163,23599,FEMALE,Maddison Blanc,Forresters Beach,NS,New South Wales,02260,Australia,Australia,1989-10-12,35,30-40
164,23854,MALE,Ali Wroblewski,Murrawombie,NS,New South Wales,02825,Australia,Australia,1943-01-02,81,60+
165,24069,MALE,Edward Carron,Ulmarra,NS,New South Wales,02462,Australia,Australia,1985-05-20,39,30-40
166,24230,FEMALE,Zoe Dadswell,Davoren Park South,SA,South Australia,05113,Australia,Australia,1979-10-26,45,40-50
167,24575,FEMALE,Stella OMahony,Placid Hills,QL,Queensland,04343,Australia,Australia,2000-06-07,24,18-30
168,24920,FEMALE,Natalie Robey,Corny Point,SA,South Australia,05575,Australia,Australia,1938-04-17,86,60+
169,25308,FEMALE,Angelina Kates,West Wiangaree,NS,New South Wales,02474,Australia,Australia,1987-03-12,37,30-40
170,25771,FEMALE,Mikayla Shenton,Boolcarroll,NS,New South Wales,02388,Australia,Australia,1959-07-26,65,60+
171,25864,MALE,Zane Corkill,Shirley,VI,Victoria,03373,Australia,Australia,1995-05-05,29,18-30
172,25935,MALE,Charlie DArcy,Burnt Yards,NS,New South Wales,02792,Australia,Australia,1975-01-13,49,40-50
173,26458,MALE,George Creer,Westbury,VI,Victoria,03825,Australia,Australia,1979-04-28,45,40-50
174,26477,MALE,Caleb Willshire,Morisset,NS,New South Wales,02264,Australia,Australia,1959-11-05,65,60+
175,26642,MALE,Noah Moloney,Elizabeth Beach,NS,New South Wales,02428,Australia,Australia,1978-09-30,46,40-50
176,26728,FEMALE,Gemma Allan,Marrickville South,NS,New South Wales,02204,Australia,Australia,1979-01-18,45,40-50
177,26906,MALE,Xavier McPhee,Clemton Park,NS,New South Wales,02206,Australia,Australia,1974-06-16,50,50-60
178,26914,FEMALE,Amelia England,Mount Cottrell,VI,Victoria,03024,Australia,Australia,1940-10-10,84,60+
179,26970,FEMALE,Rose Frater,Bendigo South,VI,Victoria,03550,Australia,Australia,1990-11-12,34,30-40
180,27125,FEMALE,Ashley Hornung,Arno Bay,SA,South Australia,05603,Australia,Australia,1976-03-16,48,40-50
181,27210,MALE,Liam Osborn,Mootai,NS,New South Wales,02325,Australia,Australia,1973-07-02,51,50-60
182,27356,MALE,Hamish DHage,Turramurra,NS,New South Wales,02074,Australia,Australia,1969-10-02,55,50-60
183,27432,FEMALE,Mikayla Favenc,Cleve,SA,South Australia,05640,Australia,Australia,1998-09-26,26,18-30
184,27492,FEMALE,Bianca Coombe,Yambuk,VI,Victoria,03285,Australia,Australia,1987-11-04,37,30-40
185,27616,MALE,Cameron Tebbutt,Bannockburn,VI,Victoria,03331,Australia,Australia,1987-05-17,37,30-40
186,27896,MALE,Zachary McLeish,Jacup,WA,Western Australia,06337,Australia,Australia,1973-10-17,51,50-60
187,27945,MALE,Charlie Stralia,Sofala,NS,New South Wales,02795,Australia,Australia,1974-05-20,50,50-60
188,28076,FEMALE,Alannah Onus,Avoca,TA,Tasmania,07213,Australia,Australia,1979-01-02,45,40-50
189,28559,MALE,Samuel Israel,Yilki,SA,South Australia,05211,Australia,Australia,1968-12-07,56,50-60
190,28690,MALE,Leo Walcott,Millchester,QL,Queensland,04820,Australia,Australia,1987-09-12,37,30-40
191,28702,FEMALE,Charli Lhotsky,Drewvale,QL,Queensland,04116,Australia,Australia,1966-06-30,58,50-60
192,29041,MALE,Logan Barling,Lindenow,VI,Victoria,03865,Australia,Australia,1937-11-14,87,60+
193,29278,MALE,Justin Hartog,Pinevale,QL,Queensland,04754,Australia,Australia,1990-09-04,34,30-40
194,29303,MALE,Max Cohn,Kirton Point,SA,South Australia,05606,Australia,Australia,1983-05-01,41,40-50
195,29320,MALE,Levi Barraclough,Blackbutt,NS,New South Wales,02529,Australia,Australia,1938-10-14,86,60+
196,29475,FEMALE,Madison Pocock,Tuross,NS,New South Wales,02630,Australia,Australia,1965-07-03,59,50-60
197,29555,MALE,Owen Edouard,Glen Martin,NS,New South Wales,02321,Australia,Australia,1992-07-03,32,30-40
198,29593,MALE,Liam Nettleton,Bakara,SA,South Australia,05354,Australia,Australia,1995-08-18,29,18-30
199,29647,FEMALE,Jessica Maynard,Brenda,NS,New South Wales,02831,Australia,Australia,1956-05-28,68,60+
200,29689,FEMALE,Alexis Phillipps,Burwood Heights,NS,New South Wales,02136,Australia,Australia,1966-08-28,58,50-60
201,29812,MALE,Marcus Napier,St Kilda Road Central,VI,Victoria,03004,Australia,Australia,1966-11-19,58,50-60
202,29837,FEMALE,Rebecca Jaques,Mount George,NS,New South Wales,02424,Australia,Australia,1938-08-14,86,60+
203,29973,FEMALE,Lauren Langton,Duckinwilla,QL,Queensland,04650,Australia,Australia,1937-09-24,87,60+
204,30090,MALE,George Farrer,Park Avenue,QL,Queensland,04701,Australia,Australia,1960-10-07,64,60+
205,30278,FEMALE,Madeleine Kiddle,Jacana,VI,Victoria,03047,Australia,Australia,1945-09-12,79,60+
206,30428,FEMALE,Sienna Conrick,Earlston,VI,Victoria,03669,Australia,Australia,1999-12-01,25,18-30
207,31086,FEMALE,Kate Snowden,Wittenoom,WA,Western Australia,06751,Australia,Australia,1985-01-30,39,30-40
208,31164,MALE,Hunter Boehm,Bowes,WA,Western Australia,06535,Australia,Australia,1948-06-15,76,60+
209,31236,FEMALE,Abby Warburton,Three Bridges,VI,Victoria,03797,Australia,Australia,1959-08-08,65,60+
210,31288,MALE,Adam Banning,Clay Wells,SA,South Australia,05280,Australia,Australia,1988-08-28,36,30-40
211,31374,FEMALE,Ellie Griffin,St Agnes,SA,South Australia,05097,Australia,Australia,1960-12-02,64,60+
212,31721,FEMALE,Alyssa Isaacs,Gulfview Heights,SA,South Australia,05096,Australia,Australia,1961-01-19,63,60+
213,31784,MALE,Zac Scherk,Wamban,NS,New South Wales,02537,Australia,Australia,1968-01-02,56,50-60
214,32037,MALE,Aaron Knopwood,Lake Mokoan,VI,Victoria,03673,Australia,Australia,1989-02-14,35,30-40
215,32190,FEMALE,Paige Lacey,Delamere,SA,South Australia,05204,Australia,Australia,1954-10-28,70,60+
216,32259,FEMALE,Ashley Dane,Sevenhill,SA,South Australia,05453,Australia,Australia,1975-11-21,49,40-50
217,32294,MALE,Kai Nepean,Rite Island,QL,Queensland,04807,Australia,Australia,1948-08-04,76,60+
218,32455,FEMALE,Charlotte Crane,Mosquito Creek,QL,Queensland,04387,Australia,Australia,1997-05-09,27,18-30
219,32488,MALE,Max Wylie,Stafford Dc,QL,Queensland,04053,Australia,Australia,1954-03-15,70,60+
220,32511,MALE,Jasper Glassop,Woodford,NS,New South Wales,02463,Australia,Australia,1964-02-29,60,60+
221,32538,FEMALE,Eva Hazon,Boomoodeerie,NS,New South Wales,02469,Australia,Australia,1986-07-20,38,30-40
222,32939,FEMALE,Alica Sizer,Wongulla,SA,South Australia,05238,Australia,Australia,1951-06-09,73,60+
223,33036,MALE,Tyler Galvin,Byng,NS,New South Wales,02798,Australia,Australia,1959-07-31,65,60+
224,33205,MALE,Andrew Hollway,Crystal Brook,QL,Queensland,04800,Australia,Australia,1943-01-10,81,60+
225,33444,MALE,Brodie Thirkell,Clayton,VI,Victoria,03168,Australia,Australia,1968-01-09,56,50-60
226,34081,FEMALE,Imogen Permewan,Fyans Creek,VI,Victoria,03381,Australia,Australia,1939-05-08,85,60+
227,34126,FEMALE,Victoria Tasman,Meningie East,SA,South Australia,05264,Australia,Australia,1967-09-07,57,50-60
228,34143,MALE,John Gowlland,Warranwood,VI,Victoria,03134,Australia,Australia,1991-04-07,33,30-40
229,34431,MALE,Leo Badger,Beaconsfield,WA,Western Australia,06162,Australia,Australia,1940-02-02,84,60+
230,34451,MALE,Harry Edwin,Gladstone,NS,New South Wales,02440,Australia,Australia,1972-11-01,52,50-60
231,34462,MALE,Tyson Tishler,Talaroo,QL,Queensland,04871,Australia,Australia,1938-07-09,86,60+
232,34850,FEMALE,Caitlin OLoghlin,Blue Vale,NS,New South Wales,02380,Australia,Australia,1960-11-30,64,60+
233,34915,FEMALE,Kate Byles,Mount Crystal,NS,New South Wales,02665,Australia,Australia,1969-01-28,55,50-60
234,35257,FEMALE,Ella Oxenham,Fernhill,NS,New South Wales,02519,Australia,Australia,1970-02-20,54,50-60
235,35479,MALE,Jeremy Petre,Cossack,WA,Western Australia,06720,Australia,Australia,1978-06-08,46,40-50
236,35703,MALE,Rory Cotton,Lugarno,NS,New South Wales,02210,Australia,Australia,1961-12-14,63,60+
237,35733,FEMALE,Charlotte Shaw,Waroona,WA,Western Australia,06215,Australia,Australia,1955-05-14,69,60+
238,35795,MALE,Riley Clegg,Moyarra,VI,Victoria,03951,Australia,Australia,1995-08-07,29,18-30
239,36112,FEMALE,Emma Gepp,Annuello,VI,Victoria,03549,Australia,Australia,1937-02-12,87,60+
240,36336,FEMALE,Anna Burston,Djarawong,QL,Queensland,04854,Australia,Australia,1990-09-21,34,30-40
241,36418,FEMALE,Jorja Whitlam,Mount David,NS,New South Wales,02795,Australia,Australia,1946-02-18,78,60+
